"Story","Title","Result","Date","Stability","Duration (s)"
"ODT-611-GetPrescriptionReservationStatus","Get prescription reservation status request without system name","SUCCESS","2021-01-21T09:32:12.536Z[Etc/UTC]","0.0","0.3"
"ODT-611-GetPrescriptionReservationStatus","Get prescription reservation status request without system version","SUCCESS","2021-01-21T09:32:12.839Z[Etc/UTC]","0.0","0.27"
"ODT-612-GetPrescriptionReservationResult","Successful Prescription Reservation","FAILURE","2021-01-21T09:32:13.113Z[Etc/UTC]","0.0","1.22"
"ODT-612-GetPrescriptionReservationResult","Successful prescription reservation result retrieval","FAILURE","2021-01-21T09:32:14.337Z[Etc/UTC]","0.0","0.77"
"ODT-612-GetPrescriptionReservationResult","Get prescription reservation result request without subscription token","SUCCESS","2021-01-21T09:32:15.118Z[Etc/UTC]","0.0","0.27"
"ODT-612-GetPrescriptionReservationResult","Get prescription reservation result request without access token","SUCCESS","2021-01-21T09:32:15.389Z[Etc/UTC]","0.0","0.35"
"ODT-612-GetPrescriptionReservationResult","Get prescription reservation result request without prescriptionId","SUCCESS","2021-01-21T09:32:15.749Z[Etc/UTC]","0.0","0.65"
"ODT-612-GetPrescriptionReservationResult","Get prescription reservation result request with invalid prescriptionId and access code combination (service exception)","SUCCESS","2021-01-21T09:32:16.407Z[Etc/UTC]","0.0","0.3"
"ODT-612-GetPrescriptionReservationResult","Get prescription reservation result request with invalid prescriptionId (input exception)","SUCCESS","2021-01-21T09:32:16.713Z[Etc/UTC]","0.0","0.34"
"ODT-612-GetPrescriptionReservationResult","Get prescription reservation result request without documentTechId","SUCCESS","2021-01-21T09:32:17.054Z[Etc/UTC]","0.0","0.3"
"ODT-612-GetPrescriptionReservationResult","Get prescription reservation result request without system name","SUCCESS","2021-01-21T09:32:17.36Z[Etc/UTC]","0.0","0.26"
"ODT-612-GetPrescriptionReservationResult","Get prescription reservation result request without system version","SUCCESS","2021-01-21T09:32:17.624Z[Etc/UTC]","0.0","0.6"
"ODT-613-SetPrescriptionRealisation","Successful prescription realisation","FAILURE","2021-01-21T09:32:18.229Z[Etc/UTC]","0.0","1.18"
"ODT-613-SetPrescriptionRealisation","Set prescription realisation request without subscription token","SUCCESS","2021-01-21T09:32:19.417Z[Etc/UTC]","0.0","0.4"
"ODT-613-SetPrescriptionRealisation","Set prescription realisation request without access token","SUCCESS","2021-01-21T09:32:19.818Z[Etc/UTC]","0.0","0.28"
"ODT-613-SetPrescriptionRealisation","Set prescription realisation request without system name","SUCCESS","2021-01-21T09:32:20.1Z[Etc/UTC]","0.0","1.34"
"ODT-613-SetPrescriptionRealisation","Set prescription realisation request without system version","SUCCESS","2021-01-21T09:32:21.442Z[Etc/UTC]","0.0","0.9"
"ODT-614-GetPrescriptionRealisationStatus","Successful prescription realisation","FAILURE","2021-01-21T09:32:22.347Z[Etc/UTC]","0.0","1.72"
"ODT-614-GetPrescriptionRealisationStatus","Successful prescription realisation status retrieval","FAILURE","2021-01-21T09:32:24.079Z[Etc/UTC]","0.0","0.31"
"ODT-614-GetPrescriptionRealisationStatus","Get prescription realisation status request without subscription token","SUCCESS","2021-01-21T09:32:24.395Z[Etc/UTC]","0.0","0.28"
"ODT-614-GetPrescriptionRealisationStatus","Get prescription realisation status request without access token","SUCCESS","2021-01-21T09:32:24.673Z[Etc/UTC]","0.0","0.26"
"ODT-614-GetPrescriptionRealisationStatus","Get prescription realisation status request without prescriptionId","SUCCESS","2021-01-21T09:32:24.935Z[Etc/UTC]","0.0","1.1"
"ODT-614-GetPrescriptionRealisationStatus","Get prescription realisation status request with invalid prescriptionId and access code combination (service exception)","SUCCESS","2021-01-21T09:32:26.031Z[Etc/UTC]","0.0","0.29"
"ODT-614-GetPrescriptionRealisationStatus","Get prescription realisation status request with invalid prescriptionId (input exception)","SUCCESS","2021-01-21T09:32:26.327Z[Etc/UTC]","0.0","0.29"
"ODT-614-GetPrescriptionRealisationStatus","Get prescription realisation status request without documentTechId","SUCCESS","2021-01-21T09:32:26.619Z[Etc/UTC]","0.0","0.26"
"ODT-614-GetPrescriptionRealisationStatus","Get prescription realisation status request without system name","SUCCESS","2021-01-21T09:32:26.878Z[Etc/UTC]","0.0","0.35"
"ODT-614-GetPrescriptionRealisationStatus","Get prescription realisation status request without system version","SUCCESS","2021-01-21T09:32:27.228Z[Etc/UTC]","0.0","0.28"
"ODT-615-GetPrescriptionRealisationResult","Successful prescription realisation","FAILURE","2021-01-21T09:32:27.508Z[Etc/UTC]","0.0","1.54"
"ODT-615-GetPrescriptionRealisationResult","Successful prescription realisation result retrieval","FAILURE","2021-01-21T09:32:29.055Z[Etc/UTC]","0.0","0.3"
"ODT-615-GetPrescriptionRealisationResult","Get prescription realisation result request without subscription token","SUCCESS","2021-01-21T09:32:29.354Z[Etc/UTC]","0.0","0.25"
"ODT-615-GetPrescriptionRealisationResult","Get prescription realisation result request without access token","SUCCESS","2021-01-21T09:32:29.612Z[Etc/UTC]","0.0","0.24"
"ODT-615-GetPrescriptionRealisationResult","Get prescription realisation result request without prescriptionId","SUCCESS","2021-01-21T09:32:29.856Z[Etc/UTC]","0.0","0.67"
"ODT-615-GetPrescriptionRealisationResult","Get prescription realisation result request with invalid prescriptionId and access code combination (service exception)","SUCCESS","2021-01-21T09:32:30.53Z[Etc/UTC]","0.0","0.27"
"ODT-615-GetPrescriptionRealisationResult","Get prescription realisation result request with invalid prescriptionId (input exception)","SUCCESS","2021-01-21T09:32:30.803Z[Etc/UTC]","0.0","0.27"
"ODT-615-GetPrescriptionRealisationResult","Get prescription realisation result request without documentTechId","SUCCESS","2021-01-21T09:32:31.079Z[Etc/UTC]","0.0","0.27"
"ODT-615-GetPrescriptionRealisationResult","Get prescription realisation result request without system name","SUCCESS","2021-01-21T09:32:31.352Z[Etc/UTC]","0.0","0.26"
"ODT-615-GetPrescriptionRealisationResult","Get prescription realisation result request without system version","SUCCESS","2021-01-21T09:32:31.618Z[Etc/UTC]","0.0","0.26"
"ODT-616-CancelPrescriptionReservation","Successful prescription reservation and cancellation","FAILURE","2021-01-21T09:32:31.878Z[Etc/UTC]","0.0","1.06"
"ODT-616-CancelPrescriptionReservation","Cancel prescription reservation without subscription token","SUCCESS","2021-01-21T09:32:32.939Z[Etc/UTC]","0.0","0.25"
"ODT-616-CancelPrescriptionReservation","Cancel prescription reservation without access token","SUCCESS","2021-01-21T09:32:33.194Z[Etc/UTC]","0.0","0.26"
"ODT-616-CancelPrescriptionReservation","Cancel prescription reservation without sysName","SUCCESS","2021-01-21T09:32:33.456Z[Etc/UTC]","0.0","1.74"
"ODT-616-CancelPrescriptionReservation","Cancel prescription reservation without sysVersion","SUCCESS","2021-01-21T09:32:35.201Z[Etc/UTC]","0.0","0.81"
"ODT-617-CancelPrescriptionRealisation","Successful prescription realisation and cancellation","FAILURE","2021-01-21T09:32:36.018Z[Etc/UTC]","0.0","1.93"
"ODT-617-CancelPrescriptionRealisation","Cancel prescription realisation without subscription token","SUCCESS","2021-01-21T09:32:37.951Z[Etc/UTC]","0.0","0.28"
"ODT-617-CancelPrescriptionRealisation","Cancel prescription realisation without access token","SUCCESS","2021-01-21T09:32:38.229Z[Etc/UTC]","0.0","0.25"
"ODT-617-CancelPrescriptionRealisation","Cancel prescription realisation without sysName","SUCCESS","2021-01-21T09:32:38.485Z[Etc/UTC]","0.0","1.35"
"ODT-617-CancelPrescriptionRealisation","Cancel prescription realisation without sysVersion","SUCCESS","2021-01-21T09:32:39.833Z[Etc/UTC]","0.0","0.91"
